# Output from icenk version 1.01 on Tue Oct  6 12:29:24 2020
# 
# Amorphous CH3OH at 10K, n=1.314, h=1.02 microns, measured on a KBr substrate
# 
# Spectrum file          "example1-spectrum.txt"
# Substrate n and k from "kbr-nk.txt"
# Sample thickness       1.020 microns
# Sample visible index   1.314 at a wavelength of 670.0 nm
# Input parameters from  "icenk-inputfile.txt"
# 
# If this code is used in your research, please cite Gerakines, P.A., and Hudson, R. L. 2020. A Modified Algorithm and Open-source Computational Package for the Determination of Infrared Optical Constants Relevant to Astrophysics. ApJ, 901, 52.
# 
# For the original Python code, calculation details, and general information
# from our group - please visit http://science.gsfc.nasa.gov/691/cosmicice
# 
# Wavnum [cm-1]    Abs(Calculated)           n                  k       
# -------------    ---------------    ---------------    ---------------
# 
2.028800000e+03    7.306702577e-04    1.319766326e+00    4.054661871e-04
2.028900000e+03    7.079700026e-04    1.319774732e+00    3.852719097e-04
2.029000000e+03    6.745697074e-04    1.319799136e+00    3.550785385e-04
2.029100000e+03    6.608694359e-04    1.319841261e+00    3.413440499e-04
2.029200000e+03    6.703694591e-04    1.319885069e+00    3.477849463e-04
2.029300000e+03    7.008696049e-04    1.319916329e+00    3.730696767e-04
2.029400000e+03    7.232698241e-04    1.319930887e+00    3.919776213e-04
2.029500000e+03    7.456699120e-04    1.319957996e+00    4.103627690e-04
2.029600000e+03    7.955703645e-04    1.319976159e+00    4.531119731e-04
2.029700000e+03    8.416707580e-04    1.319969471e+00    4.935741848e-04
2.029800000e+03    8.773711805e-04    1.319953611e+00    5.253403627e-04
2.029900000e+03    8.997714182e-04    1.319927446e+00    5.459279805e-04
2.030000000e+03    9.046715835e-04    1.319905712e+00    5.510630336e-04
2.030100000e+03    9.095716382e-04    1.319889898e+00    5.559518995e-04
2.030200000e+03    9.092717458e-04    1.319872208e+00    5.563821534e-04
2.030300000e+03    9.031716959e-04    1.319859172e+00    5.515601762e-04
2.030400000e+03    8.944717055e-04    1.319850167e+00    5.443038256e-04
2.030500000e+03    8.857716036e-04    1.319847980e+00    5.367654746e-04
2.030600000e+03    8.824716359e-04    1.319848086e+00    5.338424163e-04
2.030700000e+03    8.791715777e-04    1.319847466e+00    5.309496254e-04
2.030800000e+03    8.755716003e-04    1.319850071e+00    5.276618956e-04
2.030900000e+03    8.757715571e-04    1.319855415e+00    5.275744208e-04
2.031000000e+03    8.802716422e-04    1.319861253e+00    5.312160076e-04
2.031100000e+03    8.891716818e-04    1.319864582e+00    5.387977995e-04
2.031200000e+03    8.954717987e-04    1.319864437e+00    5.442560526e-04
2.031300000e+03    9.017718127e-04    1.319868894e+00    5.495229273e-04
2.031400000e+03    9.166719973e-04    1.319871881e+00    5.623481378e-04
2.031500000e+03    9.316721109e-04    1.319868147e+00    5.755380460e-04
2.031600000e+03    9.450723074e-04    1.319861648e+00    5.874467100e-04
